(9.768567,26.882800)
(47.903761,3.419209)
(59.877194,50.413636)
(9.239548,11.836358)
(19.704247,19.525429)
(44.623795,44.419360)
(32.509805,12.494150)
(0.092954,42.030172)
(9.944697,23.054362)
(17.396386,41.682352)
(18.712784,29.499274)
(53.305936,7.502269)
(50.613242,26.191710)
(7.766540,17.945965)
(30.617380,34.036211)
(12.912839,11.502719)
(23.677039,9.959434)
(50.524364,24.279994)
(3.462939,14.460061)
(46.407314,48.610423)
(63.454655,61.035941)
(46.986424,36.255750)
(48.460892,31.037625)
(1.551978,42.098096)
(5.195564,62.220036)
(41.364570,23.249650)
(57.837065,45.357749)
(7.583389,12.886825)
(27.832768,36.684943)
(23.172079,6.457058)
(10.514399,39.510752)
(50.536543,53.313752)
(42.293905,57.722583)
(5.830174,36.834079)
(13.841153,56.838574)
(0.841458,27.092481)
(27.288358,12.829490)
(0.260073,54.119376)
(28.520823,3.223766)
(11.604805,29.113082)
(1.421971,5.519370)
(56.876701,15.911123)
(16.013546,25.591209)
(27.415629,40.995929)
(20.328465,0.161668)
(17.518354,11.682910)
(50.188705,50.317628)
(16.922064,32.637192)
(32.248713,43.137733)
(38.344215,20.196619)
(46.116985,40.024200)
(52.587469,45.722594)
(18.227750,36.237038)
(52.767283,6.058005)
(9.763254,25.467640)
(13.691564,40.162990)
(19.467852,12.472061)
(33.899858,11.816046)
(8.356388,16.946475)
(9.089412,19.146444)
(12.358518,31.149037)
(43.579620,19.985398)
(15.650727,47.068411)
(53.593973,58.492936)
(12.619326,44.593255)
(28.433708,52.336988)
(50.786592,27.870290)
(50.881267,49.531988)
(21.612028,54.916275)
(2.738491,29.043180)
(11.241671,28.651576)
(31.077784,51.532747)
(38.087203,26.207391)
(4.166923,1.088909)
(31.555428,41.598334)
(52.988243,48.295334)
(38.280449,42.259284)
(40.800466,52.539088)
(11.176696,29.858194)
(53.441842,6.153451)
(32.483749,23.755317)
(32.135276,51.258263)
(33.921550,50.458673)
(34.438262,43.360418)
(36.599186,27.163694)
(18.366779,14.127655)
(2.466858,3.676807)
(34.171202,16.945485)
(55.761345,35.613670)
(4.529128,53.941390)
(12.358581,42.649465)
(12.100394,23.789646)
(45.964602,11.689063)
(19.536629,36.263533)
(16.787209,12.957613)
(28.346689,25.767623)
(57.179896,20.011230)
(31.499302,34.133221)
(9.882103,17.050101)
(35.538491,22.003515)
(39.369095,4.707517)
(21.075031,10.885763)
(5.789145,28.349350)
(27.735484,48.114933)
(32.741882,1.371440)
(33.664758,50.581010)
(4.826881,5.783931)
(8.016758,31.539740)
(5.923569,2.208370)
(48.653124,20.052401)
(6.864778,43.811134)
(44.973410,48.510523)
(30.832389,15.387569)
(2.602274,24.373204)
(24.712159,25.416293)
(20.133084,9.655676)
(21.826862,23.972824)
(25.787207,1.136932)
(39.250246,3.830057)
(27.230950,48.974781)
(18.257263,44.891611)
(2.110898,0.268255)
(54.825901,19.451308)
(9.940948,14.667908)
(18.355844,22.420447)
(54.468831,2.201700)
(17.106507,40.184553)
(36.259271,34.589089)
(18.972869,32.642519)
(29.526687,41.581774)
(34.366109,31.022575)
(2.287771,35.321284)
(0.933820,12.914645)
(18.201071,38.737363)
(15.775624,39.022826)
(25.954721,1.254295)
(0.443523,39.949806)
(18.013791,40.667505)
(24.476089,29.000982)
(59.779436,39.336879)
(29.471511,1.835201)
(2.944579,37.415479)
(32.031740,40.907435)
(8.179728,30.814376)
(42.240386,50.868805)
(25.290016,1.503114)
(47.555181,12.757548)
(35.265496,45.524626)
(1.871542,22.419924)
(39.308372,29.080423)
(12.152809,6.375747)
(28.647912,38.413667)
(19.358114,26.497427)
(38.839976,16.910162)
(45.007465,37.772462)
(16.707362,52.992831)
(25.394541,52.048566)
(0.516064,36.341063)
(34.929853,36.234131)
(54.744461,0.376682)
(25.713492,41.029456)
(12.493654,36.774671)
(4.420319,51.857831)
(32.854082,22.767063)
(50.438775,3.201905)
(1.604739,19.791153)
(8.856843,62.104142)
(32.026005,15.008509)
(14.273200,18.344330)
(60.733373,15.723119)
(38.060706,52.709294)
(22.164934,22.847151)
(5.355303,32.899582)
(61.353939,27.063269)
(17.614501,19.728286)
(52.072423,43.187344)
(36.945506,37.348229)
(29.005285,32.316495)
(50.225301,33.023015)
(19.526882,0.796070)
(41.171178,19.738436)
(17.734277,35.883570)
(36.948233,57.112266)
(42.366683,46.089481)
(10.689570,34.711494)
(37.405801,34.982145)
(30.195155,11.528471)
(31.505739,35.886175)
(16.752626,45.131279)
(22.216601,59.233728)
(32.458991,37.658406)
(5.050581,31.171081)
(5.032887,7.722373)
(33.456637,21.051384)
(34.290078,22.212961)
(1.795667,4.244359)
(3.290615,47.762811)
(28.114184,13.276044)
(34.187133,9.980742)
(6.834390,12.912635)
(16.400968,7.061978)
(29.560088,28.920402)
(21.971756,32.461627)
(26.660246,15.146727)
(49.878371,4.309363)
(50.669597,11.921635)
(28.196085,1.304032)
(29.540898,7.493137)
(5.608744,16.795404)
(5.359426,7.641294)
(51.613164,36.118316)
(41.911037,26.760418)
(21.698763,10.325853)
(15.163910,36.647800)
(51.718160,12.079329)
(45.659088,33.767849)
(62.084218,48.454825)
(5.237260,47.813158)
(56.773919,27.712280)
(11.062938,34.727948)
(1.079210,14.105595)
(36.095964,38.196981)
(36.860780,31.528955)
(13.911716,22.479875)
(31.724262,47.063099)
(49.924597,45.576431)
(41.052576,16.391717)
(10.715743,39.338146)
(5.896282,25.987447)
(27.851841,44.631318)
(45.025643,16.694846)
